place_name,place_country,place_airport
Amsterdam,Netherlands,Amsterdam Schiphol (AMS) Airport
Barcelona,Spain,Josep Tarradellas Barcelona-El Prat Airport
Berlin,Germany,Berlin Tegel
Budapest,Hungary,Budapest (BUD) Airport
Copenhagen,Denmark,Bornholm Airport
Dublin,Ireland,Oakland International Airport
Edinburgh,UK,Edinburgh Airport
Helsinki,Finland,Helsinki-Vantaa Airport
Lisbon,Portugal,Lisbon (LIS) Airport
Ljubljana,Slovenia,Ljubljana (LJU) Airport
London,UK,London Heathrow
Oslo,Norway,Oslo Airport Gardermoen
Paris,France,Charles De Gaulle airport (CDG)
Prague,Czechia,Prague (PRG) Airport
Metropolitan City of Rome,Italy,Ciampino
Stockholm,Sweden,Stockholm Arlanda Airport
Vienna,Austria,Vienna (VIE) Airport
Warsaw,Poland,Warsaw Chopin Airport
Zurich,Switzerland,Zurich (ZRH) Airport
